hydrophobicity_score	Recognition_score	self_sequence_similarity	EL_dissimilarity	EL_mt_rank	EL_wt_rank	EL_ht_rank	Pep_len	response
0.218831	0.00779392671087	0.893617021277	5.66386323037e-13	7.6399	7.1472	7.1472	10	0
0.164884	3.66385574428e-09	0.745098039216	0.280589811973	1.985	1.5164	1.5164	10	0
0.671212	0.99999977366	0.941176470588	9.27328682757e-31	15.8306	18.0323	18.0323	11	0
0.878351	1.4439747671e-12	0.941176470588	1.26606390996e-05	4.2554	9.4776	9.4776	11	0
0.190259	0.999941047526	0.905660377358	0.500020600452	0.1217	0.202	0.202	10	0
0.122416	3.47724326639e-09	0.942307692308	0.647112842711	1.8765	2.9689	2.9689	10	0
0.147168	2.66898237036e-11	0.866666666667	0.605116473561	0.8783	1.7406	1.7406	9	0
0.230972	0.999999998262	0.891304347826	6.2339136141e-06	4.3971	52.9412	1.1844	9	0
0.263934	0.999941047526	0.884615384615	0.50023674302	0.1768	0.5108	0.5108	10	0
0.550134	0.999941047526	0.896551724138	0.500026888157	0.2258	0.2907	0.2907	11	0
0.374401	0.992495040201	0.951612903226	0.0304822540337	2.6919	3.6231	3.6231	11	0
0.304232	0.999999998262	0.913793103448	1.82062659672e-08	5.5643	73.3333	36.5455	11	0
0.400771	4.52707886529e-07	0.795918367347	0.999844933279	0.2457	12.5274	0.6805	9	0
0.703904	5.89524760216e-05	0.95	0.206911167155	2.2486	2.344	0.8709	11	0
0.526382	4.13034493024e-13	0.853658536585	0.500008133798	0.1606	0.1904	0.1904	9	0
0.519994	1.62241253289e-15	0.897959183673	0.29324642792	1.9675	1.5248	1.5248	10	0
0.706467	4.16181916215e-13	0.923076923077	6.87296062829e-07	4.8381	9.2883	9.2883	10	0
0.324052	0.015124744589	0.87037037037	0.999337283285	0.5363	35.3846	1.2679	9	0
0.324052	0.015124744589	0.87037037037	0.978374090653	1.2376	60.7143	2.5157	9	0
0.918333	0.00773634577854	0.939393939394	1.93386601499e-12	7.3943	8.1959	8.1959	11	0
0.620131	5.89560033484e-05	0.909090909091	1.76098277109e-22	12.0182	20.1461	20.1011	10	0
0.589013	5.89524750033e-05	0.888888888889	0.508241525259	0.3567	1.1856	1.1856	9	0
0.647787	5.89559768778e-05	0.886363636364	0.140215650889	2.3627	8.7066	4.8099	9	0
0.59479	3.5562879572e-09	0.890909090909	3.72324380366e-07	4.9607	6.5139	6.5139	10	0
0.118388	0.000117898026091	0.833333333333	0.932383051115	1.474	3.42	3.42	10	0
0.118388	0.000117898026091	0.833333333333	0.523349466793	0.9876	1.4247	1.4247	10	0
0.039778	4.56156182677e-07	0.843137254902	0.607232258249	1.1474	1.7601	1.7601	10	0
0.923548	0.000118361024462	0.890909090909	3.49097372937e-08	5.4341	5.6413	5.6413	11	0
0.242246	0.992380235752	0.865384615385	0.497831495668	1.2096	1.1603	1.1603	10	0
0.986105	5.98578129433e-05	0.945454545455	4.2053222662e-10	6.3179	6.3076	6.3076	11	0
0.191035	0.996175543719	0.836734693878	0.500015754504	0.1131	0.1796	0.0687	9	0
0.825867	2.71028094086e-11	0.840909090909	0.500009350421	0.1356	0.1736	0.1736	9	0
0.548919	4.52680168999e-07	0.863636363636	0.500006964201	0.1217	0.1526	0.1526	9	0
0.138763	0.999999999991	0.894736842105	0.957800386765	1.3101	2.7449	2.7449	10	0
0.0704987	0.50001473856	0.88679245283	2.27485229374e-05	4.014	1.4971	2.1382	10	0
0.843512	9.12338210227e-07	0.875	6.36733275861e-08	5.3139	5.4325	5.4325	11	0
0.061237	0.500000114922	0.913793103448	0.574617025239	1.0328	1.6659	1.6659	10	0
0.309073	6.95202895241e-09	0.941176470588	0.499975053546	0.5192	0.5022	0.5022	9	0
0.345204	0.800000036495	0.816666666667	0.0163381749944	2.696	1.5453	1.5453	10	0
0.542518	0.00773634564777	0.888888888889	0.500051099103	0.4607	0.5014	0.5014	9	0
0.951938	1.07169034565e-10	0.903225806452	0.499386169622	0.747	0.539	0.539	11	0
0.374736	1.87644918172e-10	0.851063829787	0.999899575106	0.1588	23.3158	0.0532	9	0
0.504717	1.3615947219e-06	0.895833333333	0.5000006898	0.0176	0.0231	0.0231	9	0
0.278877	5.8952528364e-05	0.891304347826	0.524575441508	0.2448	1.4082	1.4082	9	0
